start_lat,start_lon,end_lat,end_lon
1.35926,103.88696,1.35928,103.88713
1.35928,103.88713,1.35917,103.88717
1.35917,103.88717,1.35904,103.88693
1.35904,103.88693,1.35866,103.88711
1.35866,103.88711,1.35828,103.88634
1.35828,103.88634,1.35799,103.88574
1.35799,103.88574,1.35773,103.8852
1.35773,103.8852,1.3576,103.88493
1.3576,103.88493,1.35748,103.88468
1.35748,103.88468,1.35721,103.88411
1.35721,103.88411,1.35719,103.88391
1.35719,103.88391,1.35727,103.88374
1.35727,103.88374,1.35783,103.88324
1.35783,103.88324,1.35815,103.88295
1.35815,103.88295,1.35766,103.88244
1.35766,103.88244,1.35667,103.88136
1.35667,103.88136,1.35629,103.88091
1.35629,103.88091,1.35614,103.88076
1.35614,103.88076,1.3561,103.88072
1.3561,103.88072,1.35604,103.88066
1.35604,103.88066,1.35596,103.88058
1.35596,103.88058,1.35562,103.88016
1.35562,103.88016,1.35543,103.87994
1.35543,103.87994,1.3554,103.8799
1.3554,103.8799,1.35537,103.87987
1.35537,103.87987,1.3551,103.87954
1.3551,103.87954,1.35491,103.87932
1.35491,103.87932,1.3545,103.87891
1.3545,103.87891,1.35409,103.87844
1.35409,103.87844,1.35379,103.87818
1.35379,103.87818,1.35339,103.87776
1.35339,103.87776,1.35291,103.87724
1.35291,103.87724,1.35258,103.87701
1.35258,103.87701,1.35246,103.87697
1.35246,103.87697,1.35234,103.87697
1.35234,103.87697,1.35224,103.87701
1.35224,103.87701,1.35214,103.87717
1.35214,103.87717,1.3522,103.87724
1.3522,103.87724,1.3523,103.87726
1.3523,103.87726,1.35239,103.87723
1.35239,103.87723,1.35243,103.87723
1.35243,103.87723,1.35248,103.87725
1.35248,103.87725,1.35304,103.87787
start_lat,start_lon,end_lat,end_lon
1.35304,103.87787,1.35248,103.87725
1.35248,103.87725,1.35243,103.87723
1.35243,103.87723,1.35239,103.87723
1.35239,103.87723,1.3523,103.87726
1.3523,103.87726,1.35201,103.87737
1.35201,103.87737,1.35183,103.8779
1.35183,103.8779,1.35249,103.87822
1.35249,103.87822,1.35259,103.87827
1.35259,103.87827,1.3527,103.87836
1.3527,103.87836,1.35274,103.87845
1.35274,103.87845,1.35277,103.87851
1.35277,103.87851,1.35281,103.87872
1.35281,103.87872,1.35276,103.87894
1.35276,103.87894,1.35269,103.87905
1.35269,103.87905,1.35247,103.87928
1.35247,103.87928,1.35224,103.87949
1.35224,103.87949,1.35205,103.87967
